samples,features,classes,clusters,seed,population_size,point,class,target,model,max_distance,mean_distance,distance_std,min_distance,accuracy
10,2,2,1,1,8000,1,0,0,MLPClassifier,0.0234013125800024,0.0130329593270186,0.0066855896541137,6.140170409985046e-05,1.0
10,2,2,1,1,8000,1,0,1,MLPClassifier,2.879253644361317,2.8542884536054225,0.0145672505468997,2.8246800097802405,1.0
10,2,2,1,1,8000,2,0,0,MLPClassifier,0.0227357464191155,0.011740921450973,0.0063867991059738,1.940099001029872e-05,1.0
10,2,2,1,1,8000,2,0,1,MLPClassifier,0.6614109586859318,0.6419871500675192,0.0123500536110725,0.6151291113346694,1.0
10,2,2,1,1,8000,3,0,0,MLPClassifier,0.0237027453892273,0.012629350081017,0.0068915188242171,1.3836255239541018e-05,1.0
10,2,2,1,1,8000,3,0,1,MLPClassifier,2.0054925723197745,1.992879591168308,0.0073345034003062,1.9794194417628936,1.0
10,2,2,1,1,8000,4,1,0,MLPClassifier,0.1854318011995642,0.1700711227161308,0.0080339290318046,0.1595264804479534,1.0
10,2,2,1,1,8000,4,1,1,MLPClassifier,0.0218574241536882,0.0115151162201058,0.0060713853421435,0.0002422464652553,1.0
10,2,2,1,1,8000,5,1,0,MLPClassifier,0.3124855446404804,0.3009293322195012,0.0054159531751637,0.2940268289779235,1.0
10,2,2,1,1,8000,5,1,1,MLPClassifier,0.0244276745410727,0.0135060883457227,0.0070062062346236,6.582582645853208e-06,1.0
10,2,2,1,1,8000,6,1,0,MLPClassifier,0.2403200030409537,0.2264988011021594,0.0074143971755311,0.2168056040854105,1.0
10,2,2,1,1,8000,6,1,1,MLPClassifier,0.0226896834464526,0.0126383982128799,0.0063453459387747,0.0001052676158339,1.0
10,2,2,1,1,8000,7,1,0,MLPClassifier,0.1856009481383589,0.169396839815519,0.0083880412719857,0.1586169213613417,1.0
10,2,2,1,1,8000,7,1,1,MLPClassifier,0.024622754238632,0.0128096405202165,0.0072234578728411,0.0001052676158339,1.0
10,2,2,1,1,8000,8,1,0,MLPClassifier,0.2853431835754021,0.2718405136335694,0.0071307258374345,0.2625107466953269,1.0
10,2,2,1,1,8000,8,1,1,MLPClassifier,0.022880759778459,0.0119846557571828,0.0065582360552319,2.8440930002204823e-05,1.0
10,2,2,1,1,8000,9,0,0,MLPClassifier,0.0219441446511902,0.011785284434361,0.0060704908645776,0.0003473467071208,1.0
10,2,2,1,1,8000,9,0,1,MLPClassifier,2.9464552409559635,2.927510199233842,0.0106963193370217,2.909000173388155,1.0
10,2,2,1,1,16000,0,1,0,MLPClassifier,0.2548768743967193,0.2432266521518863,0.0059296521963155,0.2353616108620366,1.0
10,2,2,1,1,16000,0,1,1,MLPClassifier,0.0197930247529518,0.010944701918316,0.0055986681335788,8.114924708868543e-07,1.0
10,2,2,1,1,16000,1,0,0,MLPClassifier,0.019469120468635,0.0103784437064043,0.0057337136371259,2.882831310646594e-05,1.0
10,2,2,1,1,16000,1,0,1,MLPClassifier,2.9519516130766617,2.926425683959184,0.0148065162731718,2.899909974692271,1.0
10,2,2,1,1,16000,2,0,0,MLPClassifier,0.019628746792126,0.0107056557456607,0.0056501099104316,2.8828313106687983e-05,1.0
10,2,2,1,1,16000,2,0,1,MLPClassifier,0.6637019425540659,0.6441087603057727,0.0132747129033642,0.6177853917068632,1.0
10,2,2,1,1,16000,3,0,0,MLPClassifier,0.0176534470400172,0.0094238062704121,0.0051297612295281,8.11492470775832e-07,1.0
10,2,2,1,1,16000,3,0,1,MLPClassifier,2.0055203401844395,1.9938970587155045,0.006893827006071,1.9811970947336048,1.0
10,2,2,1,1,16000,4,1,0,MLPClassifier,0.2014009374676411,0.1874678969708826,0.0069531798693318,0.1776889533409197,1.0
10,2,2,1,1,16000,4,1,1,MLPClassifier,0.0202234335887857,0.0109244257786172,0.0058559418441913,4.059917092030796e-05,1.0
